site,region,mean_dew_dur,dew_dur_bin
ABBY,Non-drylands,5.092124493950895,"[5,6]"
BART,Non-drylands,3.4052579365079367,"[3,4)"
BLAN,Non-drylands,2.689814814814815,"[2,3)"
BONA,Drylands,4.057300823359647,"[4,5)"
CLBJ,Drylands,2.6833333333333336,"[2,3)"
DCFS,Drylands,3.488027927106874,"[3,4)"
DEJU,Drylands,4.907373197328948,"[4,5)"
DELA,Non-drylands,2.4503312980909495,"[2,3)"
GRSM,Non-drylands,2.53125,"[2,3)"
HARV,Non-drylands,2.3117149758454105,"[2,3)"
JERC,Non-drylands,2.047463184963185,"[2,3)"
JORN,Drylands,3.0418320105820107,"[3,4)"
KONA,Drylands,3.118038617886179,"[3,4)"
KONZ,Drylands,1.9777777777777779,"[1,2)"
LENO,Non-drylands,3.2872797286449695,"[3,4)"
MLBS,Non-drylands,2.072159090909091,"[2,3)"
MOAB,Drylands,3.378324915824916,"[3,4)"
NIWO,Drylands,2.3897907647907646,"[2,3)"
NOGP,Drylands,4.120116076733724,"[4,5)"
OAES,Drylands,1.34375,"[1,2)"
ONAQ,Drylands,2.8333333333333335,"[2,3)"
ORNL,Non-drylands,1.6686507936507937,"[1,2)"
OSBS,Non-drylands,2.61426943760824,"[2,3)"
RMNP,Drylands,0.7833333333333333,"[0,1)"
SCBI,Non-drylands,0.9375,"[0,1)"
SERC,Non-drylands,2.7799019607843136,"[2,3)"
SJER,Drylands,1,"[1,2)"
STER,Non-drylands,3.627951045669427,"[3,4)"
TALL,Non-drylands,3.5833333333333335,"[3,4)"
TEAK,Drylands,2.2,"[2,3)"
TREE,Non-drylands,2.9002480158730157,"[2,3)"
UKFS,Non-drylands,1.6833333333333333,"[1,2)"
UNDE,Non-drylands,2.35,"[2,3)"
WOOD,Drylands,3.6974537037037036,"[3,4)"
WREF,Non-drylands,2.9886363636363638,"[2,3)"
YELL,Drylands,2.6013888888888888,"[2,3)"
