site,veg,mean_dew_fre,dew_fre_bin
ABBY,Forests,62.78509564121676,"[60,70)"
BART,Forests,10.75535160230569,"[10,20)"
BLAN,Forests,7.389756863808331,"[0,10)"
BONA,Forests,42.477091883790976,"[40,50)"
CLBJ,Grasslands,16.396713235376854,"[10,20)"
DCFS,Grasslands,29.458381583554804,"[20,30)"
DEJU,Forests,34.888672701931405,"[30,40)"
DELA,Forests,31.946540153286964,"[30,40)"
GRSM,Forests,2.1680216802168024,"[0,10)"
HARV,Forests,10.891739565073673,"[10,20)"
JERC,Forests,20.358206566109562,"[20,30)"
JORN,Grasslands,3.884453063836202,"[0,10)"
KONA,Grasslands,13.091812820103968,"[10,20)"
KONZ,Grasslands,17.872268108117165,"[10,20)"
LENO,Forests,44.96887061673647,"[40,50)"
MLBS,Forests,5.086470833697872,"[0,10)"
MOAB,Grasslands,9.186027619084637,"[0,10)"
NIWO,Forests,5.727944476915251,"[0,10)"
NOGP,Grasslands,42.85319131947191,"[40,50)"
OAES,Grasslands,9.539792613890196,"[0,10)"
ONAQ,Grasslands,1.2243760185264603,"[0,10)"
ORNL,Forests,12.84012586487722,"[10,20)"
OSBS,Forests,32.26533969572711,"[30,40)"
RMNP,Forests,1.1675283210405054,"[0,10)"
SCBI,Forests,1.8208080121877057,"[0,10)"
SERC,Forests,11.120670625805648,"[10,20)"
SJER,Grasslands,0.09345794392523363,"[0,10)"
STER,Forests,28.961139942373702,"[20,30)"
TALL,Forests,0.995608067788519,"[0,10)"
TEAK,Forests,6.058516318336219,"[0,10)"
TREE,Forests,21.561201698968652,"[20,30)"
UKFS,Forests,4.47559548788369,"[0,10)"
UNDE,Forests,6.656798027724215,"[0,10)"
WOOD,Grasslands,17.820331267128626,"[10,20)"
WREF,Forests,2.3151852305712635,"[0,10)"
YELL,Forests,9.452043741921901,"[0,10)"
